                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89437,                0.62701,                0.97733,                0.83551,                0.79424,                0.85662,                0.61471,                0.92546,                0.60938,                0.98225,               0.003268,               0.003268,               0.003268
                     36,                0.88482,                0.61077,                0.97511,                0.85046,                0.79077,                0.85689,                0.61381,                0.92856,                0.61167,                 0.9819,                0.00307,                0.00307,                0.00307
                     37,                0.87961,                0.60707,                0.97265,                0.85054,                0.79668,                0.85578,                 0.6159,                0.92087,                0.60437,                0.97946,               0.002872,               0.002872,               0.002872
                     38,                0.86954,                0.60142,                0.96732,                0.82433,                0.81246,                0.86215,                0.62883,                0.91767,                0.60197,                0.97574,               0.002674,               0.002674,               0.002674
                     39,                0.86303,                0.59587,                0.96622,                0.85749,                0.80503,                0.86788,                0.63056,                0.91046,                0.59451,                0.96962,               0.002476,               0.002476,               0.002476
                     40,                0.87018,                0.58946,                0.96521,                0.84013,                0.81133,                0.85992,                0.62161,                0.91122,                0.60813,                0.98019,               0.002278,               0.002278,               0.002278
                     41,                0.85792,                 0.5801,                0.96073,                0.82792,                0.79672,                0.85407,                0.62543,                0.90484,                0.60132,                0.97435,                0.00208,                0.00208,                0.00208
                     42,                0.84905,                0.57186,                 0.9569,                0.81813,                 0.8114,                 0.8585,                0.62376,                0.90201,                0.59753,                0.97166,               0.001882,               0.001882,               0.001882
                     43,                0.83653,                0.56127,                0.95101,                0.84744,                0.80758,                0.85981,                0.62775,                0.89008,                0.59136,                0.96856,               0.001684,               0.001684,               0.001684
                     44,                0.82947,                 0.5553,                0.95072,                0.84514,                0.81773,                0.86698,                0.63543,                0.88646,                0.58598,                0.96774,               0.001486,               0.001486,               0.001486
                     45,                0.82295,                0.54882,                0.94313,                0.86813,                0.80032,                0.86222,                0.63363,                0.88644,                0.58708,                0.96537,               0.001288,               0.001288,               0.001288
                     46,                0.81605,                0.54235,                0.94228,                0.86581,                0.81112,                0.87046,                0.64156,                0.87842,                0.57937,                0.96465,                0.00109,                0.00109,                0.00109
                     47,                 0.8074,                0.53732,                0.93945,                0.83519,                0.82799,                0.86954,                0.64412,                0.87781,                0.57442,                0.96329,               0.000892,               0.000892,               0.000892
                     48,                0.79853,                0.53107,                 0.9372,                 0.8636,                0.81612,                0.87346,                 0.6475,                0.87664,                0.57213,                0.96323,               0.000694,               0.000694,               0.000694
                     49,                0.78931,                0.52151,                0.93228,                0.85562,                0.82189,                0.87052,                0.64551,                0.87012,                0.56803,                0.95986,               0.000496,               0.000496,               0.000496
