                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0327,                0.62432,                0.94537,                0.77792,                 0.6561,                0.72519,                0.47249,                0.92041,                0.51348,                0.93828,               0.006535,               0.006535,               0.006535
                     37,                 1.0337,                0.62404,                0.94504,                  0.809,                0.67081,                0.72536,                0.48004,                0.91551,                0.51141,                0.93497,               0.006436,               0.006436,               0.006436
                     38,                  1.015,                0.61312,                  0.943,                0.81085,                0.66405,                0.73417,                0.49117,                0.91189,                0.51045,                0.93403,               0.006337,               0.006337,               0.006337
                     39,                 1.0217,                0.61622,                0.94256,                0.82554,                0.64548,                 0.7237,                0.48583,                0.91108,                0.50956,                0.93435,               0.006238,               0.006238,               0.006238
                     40,                 1.0136,                0.61141,                0.94004,                0.79934,                0.66078,                0.73029,                0.48394,                0.90465,                0.50081,                0.93177,               0.006139,               0.006139,               0.006139
                     41,                0.99866,                 0.6013,                0.93568,                0.79036,                0.66866,                0.73043,                0.48945,                 0.9032,                0.49981,                0.93465,                0.00604,                0.00604,                0.00604
                     42,                 1.0063,                0.60882,                0.93736,                0.79062,                0.69333,                0.73607,                0.49448,                0.89345,                0.49358,                0.92846,               0.005941,               0.005941,               0.005941
                     43,                 1.0049,                0.60424,                 0.9382,                0.79435,                0.67885,                0.74152,                0.50479,                0.88148,                0.48845,                0.92576,               0.005842,               0.005842,               0.005842
                     44,                0.98922,                0.59284,                0.93061,                0.77772,                0.68601,                0.74541,                 0.5026,                0.87565,                0.48514,                0.92323,               0.005743,               0.005743,               0.005743
                     45,                0.98416,                0.58755,                0.93289,                0.81549,                0.65851,                0.73313,                0.49753,                0.88368,                 0.4834,                0.92743,               0.005644,               0.005644,               0.005644
                     46,                0.98111,                0.58467,                0.92783,                0.81658,                0.66672,                0.73656,                0.49964,                0.87595,                0.48568,                0.92406,               0.005545,               0.005545,               0.005545
                     47,                0.97689,                0.58231,                0.92667,                0.82823,                0.68156,                0.74644,                0.50881,                0.87284,                0.48045,                0.91973,               0.005446,               0.005446,               0.005446
                     48,                0.95381,                0.56351,                0.92053,                0.85441,                0.66416,                0.74933,                0.51086,                0.86879,                0.47494,                0.92045,               0.005347,               0.005347,               0.005347
                     49,                0.95949,                0.56787,                0.91831,                0.80708,                0.68136,                 0.7563,                0.51803,                0.86608,                0.47527,                0.91805,               0.005248,               0.005248,               0.005248
                     50,                0.95485,                0.56382,                0.92022,                0.80019,                0.70923,                0.76217,                0.51454,                0.86045,                0.46786,                0.91716,               0.005149,               0.005149,               0.005149
                     51,                0.94783,                 0.5625,                0.91824,                0.81064,                0.70365,                0.76585,                0.52167,                0.85367,                0.46825,                0.91287,                0.00505,                0.00505,                0.00505
                     52,                0.95114,                   0.56,                0.91799,                0.82703,                0.70663,                0.76972,                0.52281,                 0.8554,                0.46666,                0.91662,               0.004951,               0.004951,               0.004951
                     53,                0.94531,                0.55692,                0.91869,                0.80518,                0.71572,                0.76863,                0.52478,                0.85254,                0.46094,                0.91408,               0.004852,               0.004852,               0.004852
                     54,                0.94088,                0.55147,                0.91803,                0.80837,                0.69423,                0.76221,                 0.5226,                0.84895,                0.46224,                0.91434,               0.004753,               0.004753,               0.004753
                     55,                0.93451,                0.55174,                0.91633,                0.82802,                0.71118,                0.77515,                0.53476,                 0.8356,                0.45378,                0.91273,               0.004654,               0.004654,               0.004654
                     56,                0.92821,                0.54749,                0.91526,                0.79515,                0.70718,                0.76582,                0.52414,                0.84371,                0.46073,                0.91209,               0.004555,               0.004555,               0.004555
                     57,                0.91345,                0.53579,                0.91186,                0.83478,                0.70786,                0.77792,                0.53611,                 0.8366,                 0.4542,                0.91461,               0.004456,               0.004456,               0.004456
                     58,                0.91319,                0.53109,                0.91103,                0.80743,                0.71891,                0.76887,                 0.5345,                 0.8395,                0.45243,                0.91703,               0.004357,               0.004357,               0.004357
                     59,                0.90549,                0.53091,                0.90725,                0.84594,                0.70836,                0.77446,                0.53564,                0.83258,                0.45185,                0.91138,               0.004258,               0.004258,               0.004258
                     60,                0.90962,                0.52834,                0.90772,                0.83905,                0.71553,                0.77948,                0.53929,                0.82754,                0.45158,                0.90887,               0.004159,               0.004159,               0.004159
                     61,                0.89511,                0.52365,                0.90506,                0.84105,                 0.7126,                0.78115,                0.54469,                0.82013,                0.44224,                0.90635,                0.00406,                0.00406,                0.00406
                     62,                0.89169,                 0.5206,                0.90234,                0.82936,                0.72591,                0.78267,                0.55122,                0.82184,                0.44328,                0.90552,               0.003961,               0.003961,               0.003961
                     63,                0.88801,                0.51835,                 0.8997,                0.79638,                0.73693,                 0.7876,                0.55331,                0.81406,                0.44097,                0.90407,               0.003862,               0.003862,               0.003862
